DDI-DrugBank.d456.s0|DDI-DrugBank.d456.s0.e0|DDI-DrugBank.d456.s0.e1|effect
DDI-DrugBank.d726.s1|DDI-DrugBank.d726.s1.e7|DDI-DrugBank.d726.s1.e11|effect
DDI-DrugBank.d726.s1|DDI-DrugBank.d726.s1.e7|DDI-DrugBank.d726.s1.e12|effect
DDI-DrugBank.d726.s1|DDI-DrugBank.d726.s1.e7|DDI-DrugBank.d726.s1.e13|effect
DDI-DrugBank.d726.s1|DDI-DrugBank.d726.s1.e7|DDI-DrugBank.d726.s1.e14|effect
DDI-DrugBank.d726.s1|DDI-DrugBank.d726.s1.e7|DDI-DrugBank.d726.s1.e15|effect
DDI-DrugBank.d726.s1|DDI-DrugBank.d726.s1.e8|DDI-DrugBank.d726.s1.e9|effect
DDI-DrugBank.d726.s1|DDI-DrugBank.d726.s1.e8|DDI-DrugBank.d726.s1.e10|effect
DDI-DrugBank.d726.s1|DDI-DrugBank.d726.s1.e8|DDI-DrugBank.d726.s1.e11|effect
DDI-DrugBank.d726.s1|DDI-DrugBank.d726.s1.e8|DDI-DrugBank.d726.s1.e12|effect
DDI-DrugBank.d726.s1|DDI-DrugBank.d726.s1.e8|DDI-DrugBank.d726.s1.e13|effect
DDI-DrugBank.d726.s1|DDI-DrugBank.d726.s1.e8|DDI-DrugBank.d726.s1.e14|effect
DDI-DrugBank.d726.s1|DDI-DrugBank.d726.s1.e8|DDI-DrugBank.d726.s1.e15|effect
DDI-DrugBank.d726.s1|DDI-DrugBank.d726.s1.e9|DDI-DrugBank.d726.s1.e10|effect
DDI-DrugBank.d726.s1|DDI-DrugBank.d726.s1.e9|DDI-DrugBank.d726.s1.e11|effect
DDI-DrugBank.d726.s1|DDI-DrugBank.d726.s1.e9|DDI-DrugBank.d726.s1.e12|effect
DDI-DrugBank.d726.s1|DDI-DrugBank.d726.s1.e9|DDI-DrugBank.d726.s1.e13|effect
DDI-DrugBank.d726.s1|DDI-DrugBank.d726.s1.e9|DDI-DrugBank.d726.s1.e14|effect
DDI-DrugBank.d726.s1|DDI-DrugBank.d726.s1.e9|DDI-DrugBank.d726.s1.e15|effect
DDI-DrugBank.d726.s1|DDI-DrugBank.d726.s1.e10|DDI-DrugBank.d726.s1.e11|effect
DDI-DrugBank.d726.s1|DDI-DrugBank.d726.s1.e10|DDI-DrugBank.d726.s1.e12|effect
DDI-DrugBank.d726.s1|DDI-DrugBank.d726.s1.e10|DDI-DrugBank.d726.s1.e13|effect
DDI-DrugBank.d726.s1|DDI-DrugBank.d726.s1.e10|DDI-DrugBank.d726.s1.e14|effect
DDI-DrugBank.d726.s1|DDI-DrugBank.d726.s1.e10|DDI-DrugBank.d726.s1.e15|effect
DDI-DrugBank.d726.s1|DDI-DrugBank.d726.s1.e11|DDI-DrugBank.d726.s1.e12|effect
DDI-DrugBank.d726.s1|DDI-DrugBank.d726.s1.e11|DDI-DrugBank.d726.s1.e13|effect
DDI-DrugBank.d726.s1|DDI-DrugBank.d726.s1.e11|DDI-DrugBank.d726.s1.e14|effect
DDI-DrugBank.d726.s1|DDI-DrugBank.d726.s1.e11|DDI-DrugBank.d726.s1.e15|effect
DDI-DrugBank.d726.s1|DDI-DrugBank.d726.s1.e12|DDI-DrugBank.d726.s1.e13|effect
DDI-DrugBank.d726.s1|DDI-DrugBank.d726.s1.e12|DDI-DrugBank.d726.s1.e14|effect
DDI-DrugBank.d726.s1|DDI-DrugBank.d726.s1.e12|DDI-DrugBank.d726.s1.e15|effect
DDI-DrugBank.d726.s1|DDI-DrugBank.d726.s1.e13|DDI-DrugBank.d726.s1.e14|effect
DDI-DrugBank.d726.s1|DDI-DrugBank.d726.s1.e13|DDI-DrugBank.d726.s1.e15|effect
DDI-DrugBank.d726.s1|DDI-DrugBank.d726.s1.e14|DDI-DrugBank.d726.s1.e15|effect
DDI-DrugBank.d726.s2|DDI-DrugBank.d726.s2.e0|DDI-DrugBank.d726.s2.e1|effect
DDI-DrugBank.d726.s3|DDI-DrugBank.d726.s3.e0|DDI-DrugBank.d726.s3.e1|effect
DDI-DrugBank.d726.s3|DDI-DrugBank.d726.s3.e0|DDI-DrugBank.d726.s3.e2|effect
DDI-DrugBank.d726.s3|DDI-DrugBank.d726.s3.e1|DDI-DrugBank.d726.s3.e2|effect
DDI-DrugBank.d206.s0|DDI-DrugBank.d206.s0.e0|DDI-DrugBank.d206.s0.e1|effect
DDI-DrugBank.d206.s0|DDI-DrugBank.d206.s0.e0|DDI-DrugBank.d206.s0.e2|effect
DDI-DrugBank.d206.s0|DDI-DrugBank.d206.s0.e1|DDI-DrugBank.d206.s0.e2|effect
DDI-MedLine.d217.s0|DDI-MedLine.d217.s0.e0|DDI-MedLine.d217.s0.e1|effect
DDI-MedLine.d217.s2|DDI-MedLine.d217.s2.e0|DDI-MedLine.d217.s2.e1|effect
DDI-MedLine.d217.s4|DDI-MedLine.d217.s4.e0|DDI-MedLine.d217.s4.e1|effect
DDI-MedLine.d217.s4|DDI-MedLine.d217.s4.e0|DDI-MedLine.d217.s4.e2|effect
DDI-MedLine.d217.s4|DDI-MedLine.d217.s4.e0|DDI-MedLine.d217.s4.e3|effect
DDI-MedLine.d217.s4|DDI-MedLine.d217.s4.e0|DDI-MedLine.d217.s4.e4|effect
DDI-MedLine.d217.s4|DDI-MedLine.d217.s4.e1|DDI-MedLine.d217.s4.e2|effect
DDI-MedLine.d217.s4|DDI-MedLine.d217.s4.e1|DDI-MedLine.d217.s4.e3|effect
DDI-MedLine.d217.s4|DDI-MedLine.d217.s4.e1|DDI-MedLine.d217.s4.e4|effect
DDI-MedLine.d217.s4|DDI-MedLine.d217.s4.e2|DDI-MedLine.d217.s4.e3|effect
DDI-MedLine.d217.s4|DDI-MedLine.d217.s4.e2|DDI-MedLine.d217.s4.e4|effect
DDI-MedLine.d217.s4|DDI-MedLine.d217.s4.e3|DDI-MedLine.d217.s4.e4|effect
DDI-MedLine.d217.s5|DDI-MedLine.d217.s5.e0|DDI-MedLine.d217.s5.e1|effect
DDI-MedLine.d217.s5|DDI-MedLine.d217.s5.e0|DDI-MedLine.d217.s5.e2|effect
DDI-MedLine.d217.s5|DDI-MedLine.d217.s5.e1|DDI-MedLine.d217.s5.e2|effect
DDI-MedLine.d217.s11|DDI-MedLine.d217.s11.e0|DDI-MedLine.d217.s11.e1|effect
DDI-DrugBank.d543.s0|DDI-DrugBank.d543.s0.e0|DDI-DrugBank.d543.s0.e1|effect
DDI-DrugBank.d543.s0|DDI-DrugBank.d543.s0.e0|DDI-DrugBank.d543.s0.e2|effect
DDI-DrugBank.d543.s0|DDI-DrugBank.d543.s0.e0|DDI-DrugBank.d543.s0.e3|effect
DDI-DrugBank.d543.s0|DDI-DrugBank.d543.s0.e0|DDI-DrugBank.d543.s0.e4|effect
DDI-DrugBank.d543.s0|DDI-DrugBank.d543.s0.e0|DDI-DrugBank.d543.s0.e5|effect
DDI-DrugBank.d543.s0|DDI-DrugBank.d543.s0.e0|DDI-DrugBank.d543.s0.e6|effect
DDI-DrugBank.d543.s0|DDI-DrugBank.d543.s0.e0|DDI-DrugBank.d543.s0.e7|effect
DDI-DrugBank.d543.s0|DDI-DrugBank.d543.s0.e1|DDI-DrugBank.d543.s0.e2|effect
DDI-DrugBank.d543.s0|DDI-DrugBank.d543.s0.e1|DDI-DrugBank.d543.s0.e3|effect
DDI-DrugBank.d543.s0|DDI-DrugBank.d543.s0.e1|DDI-DrugBank.d543.s0.e4|effect
DDI-DrugBank.d543.s0|DDI-DrugBank.d543.s0.e1|DDI-DrugBank.d543.s0.e5|effect
DDI-DrugBank.d543.s0|DDI-DrugBank.d543.s0.e1|DDI-DrugBank.d543.s0.e6|effect
DDI-DrugBank.d543.s0|DDI-DrugBank.d543.s0.e1|DDI-DrugBank.d543.s0.e7|effect
DDI-DrugBank.d543.s0|DDI-DrugBank.d543.s0.e2|DDI-DrugBank.d543.s0.e3|effect
DDI-DrugBank.d543.s0|DDI-DrugBank.d543.s0.e2|DDI-DrugBank.d543.s0.e4|effect
DDI-DrugBank.d543.s0|DDI-DrugBank.d543.s0.e2|DDI-DrugBank.d543.s0.e5|effect
DDI-DrugBank.d543.s0|DDI-DrugBank.d543.s0.e2|DDI-DrugBank.d543.s0.e6|effect
DDI-DrugBank.d543.s0|DDI-DrugBank.d543.s0.e2|DDI-DrugBank.d543.s0.e7|effect
DDI-DrugBank.d543.s0|DDI-DrugBank.d543.s0.e3|DDI-DrugBank.d543.s0.e4|effect
DDI-DrugBank.d543.s0|DDI-DrugBank.d543.s0.e3|DDI-DrugBank.d543.s0.e5|effect
DDI-DrugBank.d543.s0|DDI-DrugBank.d543.s0.e3|DDI-DrugBank.d543.s0.e6|effect
DDI-DrugBank.d543.s0|DDI-DrugBank.d543.s0.e3|DDI-DrugBank.d543.s0.e7|effect
DDI-DrugBank.d543.s0|DDI-DrugBank.d543.s0.e4|DDI-DrugBank.d543.s0.e5|effect
DDI-DrugBank.d543.s0|DDI-DrugBank.d543.s0.e4|DDI-DrugBank.d543.s0.e6|effect
DDI-DrugBank.d543.s0|DDI-DrugBank.d543.s0.e4|DDI-DrugBank.d543.s0.e7|effect
DDI-DrugBank.d543.s0|DDI-DrugBank.d543.s0.e5|DDI-DrugBank.d543.s0.e6|effect
DDI-DrugBank.d543.s0|DDI-DrugBank.d543.s0.e5|DDI-DrugBank.d543.s0.e7|effect
DDI-DrugBank.d543.s0|DDI-DrugBank.d543.s0.e6|DDI-DrugBank.d543.s0.e7|effect
DDI-DrugBank.d543.s1|DDI-DrugBank.d543.s1.e0|DDI-DrugBank.d543.s1.e1|effect
DDI-DrugBank.d543.s1|DDI-DrugBank.d543.s1.e0|DDI-DrugBank.d543.s1.e2|effect
DDI-DrugBank.d543.s1|DDI-DrugBank.d543.s1.e0|DDI-DrugBank.d543.s1.e3|effect
DDI-DrugBank.d543.s1|DDI-DrugBank.d543.s1.e0|DDI-DrugBank.d543.s1.e4|effect
DDI-DrugBank.d543.s1|DDI-DrugBank.d543.s1.e0|DDI-DrugBank.d543.s1.e5|effect
DDI-DrugBank.d543.s1|DDI-DrugBank.d543.s1.e0|DDI-DrugBank.d543.s1.e6|effect
DDI-DrugBank.d543.s1|DDI-DrugBank.d543.s1.e1|DDI-DrugBank.d543.s1.e2|effect
DDI-DrugBank.d543.s1|DDI-DrugBank.d543.s1.e1|DDI-DrugBank.d543.s1.e3|effect
DDI-DrugBank.d543.s1|DDI-DrugBank.d543.s1.e1|DDI-DrugBank.d543.s1.e4|effect
DDI-DrugBank.d543.s1|DDI-DrugBank.d543.s1.e1|DDI-DrugBank.d543.s1.e5|effect
DDI-DrugBank.d543.s1|DDI-DrugBank.d543.s1.e1|DDI-DrugBank.d543.s1.e6|effect
DDI-DrugBank.d543.s1|DDI-DrugBank.d543.s1.e2|DDI-DrugBank.d543.s1.e3|effect
DDI-DrugBank.d543.s1|DDI-DrugBank.d543.s1.e2|DDI-DrugBank.d543.s1.e4|effect
DDI-DrugBank.d543.s1|DDI-DrugBank.d543.s1.e2|DDI-DrugBank.d543.s1.e5|effect
DDI-DrugBank.d543.s1|DDI-DrugBank.d543.s1.e2|DDI-DrugBank.d543.s1.e6|effect
DDI-DrugBank.d543.s1|DDI-DrugBank.d543.s1.e3|DDI-DrugBank.d543.s1.e4|effect
DDI-DrugBank.d543.s1|DDI-DrugBank.d543.s1.e3|DDI-DrugBank.d543.s1.e5|effect
DDI-DrugBank.d543.s1|DDI-DrugBank.d543.s1.e3|DDI-DrugBank.d543.s1.e6|effect
DDI-DrugBank.d543.s1|DDI-DrugBank.d543.s1.e4|DDI-DrugBank.d543.s1.e5|effect
DDI-DrugBank.d543.s1|DDI-DrugBank.d543.s1.e4|DDI-DrugBank.d543.s1.e6|effect
DDI-DrugBank.d543.s1|DDI-DrugBank.d543.s1.e5|DDI-DrugBank.d543.s1.e6|effect
DDI-DrugBank.d543.s2|DDI-DrugBank.d543.s2.e0|DDI-DrugBank.d543.s2.e1|effect
DDI-DrugBank.d543.s4|DDI-DrugBank.d543.s4.e0|DDI-DrugBank.d543.s4.e1|effect
DDI-DrugBank.d543.s6|DDI-DrugBank.d543.s6.e0|DDI-DrugBank.d543.s6.e1|effect
DDI-DrugBank.d543.s7|DDI-DrugBank.d543.s7.e0|DDI-DrugBank.d543.s7.e1|effect
DDI-DrugBank.d4.s0|DDI-DrugBank.d4.s0.e0|DDI-DrugBank.d4.s0.e1|effect
DDI-DrugBank.d4.s0|DDI-DrugBank.d4.s0.e0|DDI-DrugBank.d4.s0.e2|effect
DDI-DrugBank.d4.s0|DDI-DrugBank.d4.s0.e0|DDI-DrugBank.d4.s0.e3|effect
DDI-DrugBank.d4.s0|DDI-DrugBank.d4.s0.e1|DDI-DrugBank.d4.s0.e2|effect
DDI-DrugBank.d4.s0|DDI-DrugBank.d4.s0.e1|DDI-DrugBank.d4.s0.e3|effect
DDI-DrugBank.d4.s0|DDI-DrugBank.d4.s0.e2|DDI-DrugBank.d4.s0.e3|effect
DDI-DrugBank.d4.s2|DDI-DrugBank.d4.s2.e0|DDI-DrugBank.d4.s2.e1|effect
DDI-DrugBank.d4.s2|DDI-DrugBank.d4.s2.e0|DDI-DrugBank.d4.s2.e2|effect
DDI-DrugBank.d4.s2|DDI-DrugBank.d4.s2.e1|DDI-DrugBank.d4.s2.e2|effect
DDI-DrugBank.d32.s0|DDI-DrugBank.d32.s0.e0|DDI-DrugBank.d32.s0.e1|effect
DDI-DrugBank.d32.s1|DDI-DrugBank.d32.s1.e0|DDI-DrugBank.d32.s1.e1|effect
DDI-DrugBank.d32.s3|DDI-DrugBank.d32.s3.e0|DDI-DrugBank.d32.s3.e1|effect
DDI-DrugBank.d32.s4|DDI-DrugBank.d32.s4.e0|DDI-DrugBank.d32.s4.e1|effect
DDI-DrugBank.d32.s4|DDI-DrugBank.d32.s4.e0|DDI-DrugBank.d32.s4.e2|effect
DDI-DrugBank.d32.s4|DDI-DrugBank.d32.s4.e1|DDI-DrugBank.d32.s4.e2|effect
DDI-DrugBank.d32.s6|DDI-DrugBank.d32.s6.e0|DDI-DrugBank.d32.s6.e1|effect
DDI-DrugBank.d32.s7|DDI-DrugBank.d32.s7.e0|DDI-DrugBank.d32.s7.e1|effect
DDI-DrugBank.d32.s7|DDI-DrugBank.d32.s7.e0|DDI-DrugBank.d32.s7.e2|effect
DDI-DrugBank.d32.s7|DDI-DrugBank.d32.s7.e1|DDI-DrugBank.d32.s7.e2|effect
DDI-DrugBank.d32.s12|DDI-DrugBank.d32.s12.e0|DDI-DrugBank.d32.s12.e1|effect
DDI-DrugBank.d80.s0|DDI-DrugBank.d80.s0.e0|DDI-DrugBank.d80.s0.e1|effect
DDI-DrugBank.d532.s2|DDI-DrugBank.d532.s2.e0|DDI-DrugBank.d532.s2.e1|effect
DDI-DrugBank.d532.s2|DDI-DrugBank.d532.s2.e0|DDI-DrugBank.d532.s2.e2|effect
DDI-DrugBank.d532.s2|DDI-DrugBank.d532.s2.e0|DDI-DrugBank.d532.s2.e3|effect
DDI-DrugBank.d532.s2|DDI-DrugBank.d532.s2.e0|DDI-DrugBank.d532.s2.e4|effect
DDI-DrugBank.d532.s2|DDI-DrugBank.d532.s2.e0|DDI-DrugBank.d532.s2.e5|effect
DDI-DrugBank.d532.s2|DDI-DrugBank.d532.s2.e0|DDI-DrugBank.d532.s2.e6|effect
DDI-DrugBank.d532.s2|DDI-DrugBank.d532.s2.e0|DDI-DrugBank.d532.s2.e7|effect
DDI-DrugBank.d532.s2|DDI-DrugBank.d532.s2.e1|DDI-DrugBank.d532.s2.e2|effect
DDI-DrugBank.d532.s2|DDI-DrugBank.d532.s2.e1|DDI-DrugBank.d532.s2.e3|effect
DDI-DrugBank.d532.s2|DDI-DrugBank.d532.s2.e1|DDI-DrugBank.d532.s2.e4|effect
DDI-DrugBank.d532.s2|DDI-DrugBank.d532.s2.e1|DDI-DrugBank.d532.s2.e5|effect
DDI-DrugBank.d532.s2|DDI-DrugBank.d532.s2.e1|DDI-DrugBank.d532.s2.e6|effect
DDI-DrugBank.d532.s2|DDI-DrugBank.d532.s2.e1|DDI-DrugBank.d532.s2.e7|effect
DDI-DrugBank.d532.s2|DDI-DrugBank.d532.s2.e2|DDI-DrugBank.d532.s2.e3|effect
DDI-DrugBank.d532.s2|DDI-DrugBank.d532.s2.e2|DDI-DrugBank.d532.s2.e4|effect
DDI-DrugBank.d532.s2|DDI-DrugBank.d532.s2.e2|DDI-DrugBank.d532.s2.e5|effect
DDI-DrugBank.d532.s2|DDI-DrugBank.d532.s2.e2|DDI-DrugBank.d532.s2.e6|effect
DDI-DrugBank.d532.s2|DDI-DrugBank.d532.s2.e2|DDI-DrugBank.d532.s2.e7|effect
DDI-DrugBank.d532.s2|DDI-DrugBank.d532.s2.e3|DDI-DrugBank.d532.s2.e4|effect
DDI-DrugBank.d532.s2|DDI-DrugBank.d532.s2.e3|DDI-DrugBank.d532.s2.e5|effect
DDI-DrugBank.d532.s2|DDI-DrugBank.d532.s2.e3|DDI-DrugBank.d532.s2.e6|effect
DDI-DrugBank.d532.s2|DDI-DrugBank.d532.s2.e3|DDI-DrugBank.d532.s2.e7|effect
DDI-DrugBank.d532.s2|DDI-DrugBank.d532.s2.e4|DDI-DrugBank.d532.s2.e5|effect
DDI-DrugBank.d532.s2|DDI-DrugBank.d532.s2.e4|DDI-DrugBank.d532.s2.e6|effect
DDI-DrugBank.d532.s2|DDI-DrugBank.d532.s2.e4|DDI-DrugBank.d532.s2.e7|effect
DDI-DrugBank.d532.s2|DDI-DrugBank.d532.s2.e5|DDI-DrugBank.d532.s2.e6|effect
DDI-DrugBank.d532.s2|DDI-DrugBank.d532.s2.e5|DDI-DrugBank.d532.s2.e7|effect
DDI-DrugBank.d532.s2|DDI-DrugBank.d532.s2.e6|DDI-DrugBank.d532.s2.e7|effect
DDI-DrugBank.d532.s3|DDI-DrugBank.d532.s3.e0|DDI-DrugBank.d532.s3.e1|effect
DDI-DrugBank.d532.s3|DDI-DrugBank.d532.s3.e0|DDI-DrugBank.d532.s3.e2|effect
DDI-DrugBank.d532.s3|DDI-DrugBank.d532.s3.e0|DDI-DrugBank.d532.s3.e3|effect
DDI-DrugBank.d532.s3|DDI-DrugBank.d532.s3.e1|DDI-DrugBank.d532.s3.e2|effect
DDI-DrugBank.d532.s3|DDI-DrugBank.d532.s3.e1|DDI-DrugBank.d532.s3.e3|effect
DDI-DrugBank.d532.s3|DDI-DrugBank.d532.s3.e2|DDI-DrugBank.d532.s3.e3|effect
DDI-DrugBank.d532.s4|DDI-DrugBank.d532.s4.e0|DDI-DrugBank.d532.s4.e1|effect
DDI-DrugBank.d28.s1|DDI-DrugBank.d28.s1.e0|DDI-DrugBank.d28.s1.e1|effect
DDI-DrugBank.d28.s2|DDI-DrugBank.d28.s2.e0|DDI-DrugBank.d28.s2.e1|effect
DDI-DrugBank.d28.s3|DDI-DrugBank.d28.s3.e0|DDI-DrugBank.d28.s3.e1|effect
DDI-DrugBank.d62.s0|DDI-DrugBank.d62.s0.e0|DDI-DrugBank.d62.s0.e1|effect
DDI-DrugBank.d62.s0|DDI-DrugBank.d62.s0.e0|DDI-DrugBank.d62.s0.e2|effect
DDI-DrugBank.d62.s0|DDI-DrugBank.d62.s0.e0|DDI-DrugBank.d62.s0.e3|effect
DDI-DrugBank.d62.s0|DDI-DrugBank.d62.s0.e0|DDI-DrugBank.d62.s0.e4|effect
DDI-DrugBank.d62.s0|DDI-DrugBank.d62.s0.e0|DDI-DrugBank.d62.s0.e5|effect
DDI-DrugBank.d62.s0|DDI-DrugBank.d62.s0.e0|DDI-DrugBank.d62.s0.e6|effect
DDI-DrugBank.d62.s0|DDI-DrugBank.d62.s0.e0|DDI-DrugBank.d62.s0.e7|effect
DDI-DrugBank.d62.s0|DDI-DrugBank.d62.s0.e0|DDI-DrugBank.d62.s0.e8|effect
DDI-DrugBank.d62.s0|DDI-DrugBank.d62.s0.e1|DDI-DrugBank.d62.s0.e2|effect
DDI-DrugBank.d62.s0|DDI-DrugBank.d62.s0.e1|DDI-DrugBank.d62.s0.e3|effect
DDI-DrugBank.d62.s0|DDI-DrugBank.d62.s0.e1|DDI-DrugBank.d62.s0.e4|effect
DDI-DrugBank.d62.s0|DDI-DrugBank.d62.s0.e1|DDI-DrugBank.d62.s0.e5|effect
DDI-DrugBank.d62.s0|DDI-DrugBank.d62.s0.e1|DDI-DrugBank.d62.s0.e6|effect
DDI-DrugBank.d62.s0|DDI-DrugBank.d62.s0.e1|DDI-DrugBank.d62.s0.e7|effect
DDI-DrugBank.d62.s0|DDI-DrugBank.d62.s0.e1|DDI-DrugBank.d62.s0.e8|effect
DDI-DrugBank.d62.s0|DDI-DrugBank.d62.s0.e2|DDI-DrugBank.d62.s0.e3|effect
DDI-DrugBank.d62.s0|DDI-DrugBank.d62.s0.e2|DDI-DrugBank.d62.s0.e4|effect
DDI-DrugBank.d62.s0|DDI-DrugBank.d62.s0.e2|DDI-DrugBank.d62.s0.e5|effect
DDI-DrugBank.d62.s0|DDI-DrugBank.d62.s0.e2|DDI-DrugBank.d62.s0.e6|effect
DDI-DrugBank.d62.s0|DDI-DrugBank.d62.s0.e2|DDI-DrugBank.d62.s0.e7|effect
DDI-DrugBank.d62.s0|DDI-DrugBank.d62.s0.e2|DDI-DrugBank.d62.s0.e8|effect
DDI-DrugBank.d62.s0|DDI-DrugBank.d62.s0.e3|DDI-DrugBank.d62.s0.e4|effect
DDI-DrugBank.d62.s0|DDI-DrugBank.d62.s0.e3|DDI-DrugBank.d62.s0.e5|effect
DDI-DrugBank.d62.s0|DDI-DrugBank.d62.s0.e3|DDI-DrugBank.d62.s0.e6|effect
DDI-DrugBank.d62.s0|DDI-DrugBank.d62.s0.e3|DDI-DrugBank.d62.s0.e7|effect
DDI-DrugBank.d62.s0|DDI-DrugBank.d62.s0.e3|DDI-DrugBank.d62.s0.e8|effect
DDI-DrugBank.d62.s0|DDI-DrugBank.d62.s0.e4|DDI-DrugBank.d62.s0.e5|effect
DDI-DrugBank.d62.s0|DDI-DrugBank.d62.s0.e4|DDI-DrugBank.d62.s0.e6|effect
DDI-DrugBank.d62.s0|DDI-DrugBank.d62.s0.e4|DDI-DrugBank.d62.s0.e7|effect
DDI-DrugBank.d62.s0|DDI-DrugBank.d62.s0.e4|DDI-DrugBank.d62.s0.e8|effect
DDI-DrugBank.d62.s0|DDI-DrugBank.d62.s0.e5|DDI-DrugBank.d62.s0.e6|effect
DDI-DrugBank.d62.s0|DDI-DrugBank.d62.s0.e5|DDI-DrugBank.d62.s0.e7|effect
DDI-DrugBank.d62.s0|DDI-DrugBank.d62.s0.e5|DDI-DrugBank.d62.s0.e8|effect
DDI-DrugBank.d62.s0|DDI-DrugBank.d62.s0.e6|DDI-DrugBank.d62.s0.e7|effect
DDI-DrugBank.d62.s0|DDI-DrugBank.d62.s0.e6|DDI-DrugBank.d62.s0.e8|effect
DDI-DrugBank.d62.s0|DDI-DrugBank.d62.s0.e7|DDI-DrugBank.d62.s0.e8|effect
DDI-MedLine.d2.s0|DDI-MedLine.d2.s0.e0|DDI-MedLine.d2.s0.e1|effect
DDI-MedLine.d2.s1|DDI-MedLine.d2.s1.e0|DDI-MedLine.d2.s1.e1|effect
DDI-MedLine.d2.s1|DDI-MedLine.d2.s1.e0|DDI-MedLine.d2.s1.e2|effect
DDI-MedLine.d2.s1|DDI-MedLine.d2.s1.e1|DDI-MedLine.d2.s1.e2|effect
DDI-MedLine.d2.s2|DDI-MedLine.d2.s2.e0|DDI-MedLine.d2.s2.e1|effect
DDI-MedLine.d2.s3|DDI-MedLine.d2.s3.e0|DDI-MedLine.d2.s3.e1|effect
DDI-DrugBank.d467.s2|DDI-DrugBank.d467.s2.e0|DDI-DrugBank.d467.s2.e1|effect
DDI-DrugBank.d467.s2|DDI-DrugBank.d467.s2.e0|DDI-DrugBank.d467.s2.e2|effect
DDI-DrugBank.d467.s2|DDI-DrugBank.d467.s2.e0|DDI-DrugBank.d467.s2.e3|effect
DDI-DrugBank.d467.s2|DDI-DrugBank.d467.s2.e0|DDI-DrugBank.d467.s2.e4|effect
DDI-DrugBank.d467.s2|DDI-DrugBank.d467.s2.e0|DDI-DrugBank.d467.s2.e5|effect
DDI-DrugBank.d467.s2|DDI-DrugBank.d467.s2.e1|DDI-DrugBank.d467.s2.e2|effect
DDI-DrugBank.d467.s2|DDI-DrugBank.d467.s2.e1|DDI-DrugBank.d467.s2.e3|effect
DDI-DrugBank.d467.s2|DDI-DrugBank.d467.s2.e1|DDI-DrugBank.d467.s2.e4|effect
DDI-DrugBank.d467.s2|DDI-DrugBank.d467.s2.e1|DDI-DrugBank.d467.s2.e5|effect
DDI-DrugBank.d467.s2|DDI-DrugBank.d467.s2.e2|DDI-DrugBank.d467.s2.e3|effect
DDI-DrugBank.d467.s2|DDI-DrugBank.d467.s2.e2|DDI-DrugBank.d467.s2.e4|effect
DDI-DrugBank.d467.s2|DDI-DrugBank.d467.s2.e2|DDI-DrugBank.d467.s2.e5|effect
DDI-DrugBank.d467.s2|DDI-DrugBank.d467.s2.e3|DDI-DrugBank.d467.s2.e4|effect
DDI-DrugBank.d467.s2|DDI-DrugBank.d467.s2.e3|DDI-DrugBank.d467.s2.e5|effect
DDI-DrugBank.d467.s2|DDI-DrugBank.d467.s2.e4|DDI-DrugBank.d467.s2.e5|effect
DDI-DrugBank.d467.s3|DDI-DrugBank.d467.s3.e0|DDI-DrugBank.d467.s3.e1|effect
DDI-DrugBank.d467.s3|DDI-DrugBank.d467.s3.e0|DDI-DrugBank.d467.s3.e2|effect
DDI-DrugBank.d467.s3|DDI-DrugBank.d467.s3.e0|DDI-DrugBank.d467.s3.e3|effect
DDI-DrugBank.d467.s3|DDI-DrugBank.d467.s3.e1|DDI-DrugBank.d467.s3.e2|effect
DDI-DrugBank.d467.s3|DDI-DrugBank.d467.s3.e1|DDI-DrugBank.d467.s3.e3|effect
DDI-DrugBank.d467.s3|DDI-DrugBank.d467.s3.e2|DDI-DrugBank.d467.s3.e3|effect
DDI-DrugBank.d467.s4|DDI-DrugBank.d467.s4.e0|DDI-DrugBank.d467.s4.e1|effect
DDI-DrugBank.d467.s4|DDI-DrugBank.d467.s4.e0|DDI-DrugBank.d467.s4.e2|effect
DDI-DrugBank.d467.s4|DDI-DrugBank.d467.s4.e0|DDI-DrugBank.d467.s4.e3|effect
DDI-DrugBank.d467.s4|DDI-DrugBank.d467.s4.e1|DDI-DrugBank.d467.s4.e2|effect
DDI-DrugBank.d467.s4|DDI-DrugBank.d467.s4.e1|DDI-DrugBank.d467.s4.e3|effect
DDI-DrugBank.d467.s4|DDI-DrugBank.d467.s4.e2|DDI-DrugBank.d467.s4.e3|effect
DDI-DrugBank.d467.s5|DDI-DrugBank.d467.s5.e0|DDI-DrugBank.d467.s5.e1|effect
DDI-DrugBank.d467.s6|DDI-DrugBank.d467.s6.e0|DDI-DrugBank.d467.s6.e1|effect
DDI-DrugBank.d666.s0|DDI-DrugBank.d666.s0.e0|DDI-DrugBank.d666.s0.e1|effect
DDI-DrugBank.d666.s2|DDI-DrugBank.d666.s2.e0|DDI-DrugBank.d666.s2.e1|effect
DDI-DrugBank.d666.s2|DDI-DrugBank.d666.s2.e0|DDI-DrugBank.d666.s2.e2|effect
DDI-DrugBank.d666.s2|DDI-DrugBank.d666.s2.e0|DDI-DrugBank.d666.s2.e3|effect
DDI-DrugBank.d666.s2|DDI-DrugBank.d666.s2.e0|DDI-DrugBank.d666.s2.e4|effect
DDI-DrugBank.d666.s2|DDI-DrugBank.d666.s2.e1|DDI-DrugBank.d666.s2.e2|effect
